DATAFLOW,CSE_RATE: Rate,CSE_FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,CSE_OBS_STATUS: Observation Status,CSE_OBS_NOTE: Observation Note
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2004-A1,9.6,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2005-A1,9.6,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2006-A1,9.3,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2007-A1,9.3,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2008-A1,9.8,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2009-A1,9.8,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2010-A1,9.4,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2011-A1,10.0,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2012-A1,9.8,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2013-A1,9.5,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2014-A1,9.6,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2015-A1,9.6,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2016-A1,9.8,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2017-A1,9.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2018-A1,9.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2019-A1,8.6,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2020-A1,8.6,,
